Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2014,Oxnard,11.8,16.9,9.4,4.8,4.7,21.4,10.7,7.9,1.6,4.0,12.0,29.6,18.5,8.4,10.9,18.1,8.8,33.1,21.0,6.2,2.8
2014,Palmdale,17.1,22.4,13.2,13.0,13.5,28.7,19.2,13.9,2.7,9.3,18.3,28.7,48.3,18.8,11.8,23.0,19.7,44.6,21.8,7.0,3.5
2014,Palo Alto,3.6,1.2,2.5,0.0,0.0,N,N,N,N,N,N,N,N,N,N,N,N,15.6,5.9,0.0,0.0
2014,Pasadena,11.1,16.2,6.9,7.3,11.2,34.6,26.4,10.1,4.3,6.2,13.9,25.5,84.0,10.3,8.7,16.8,39.6,39.2,13.6,3.8,6.0
2014,Perris,22.4,25.0,18.4,11.6,19.8,27.3,21.6,21.5,5.1,16.6,19.7,38.4,35.1,21.3,24.2,23.5,4.8,56.4,31.2,10.0,8.7
2014,Pittsburg,11.1,16.7,8.1,6.8,3.8,35.1,16.0,6.8,1.3,3.4,14.1,34.9,0.0,5.8,17.7,5.3,14.3,58.2,15.6,3.9,0.0
2014,Pleasanton,1.8,0.7,0.7,3.7,1.0,0.0,0.0,2.2,2.0,N,N,N,N,4.7,0.0,0.0,0.0,10.6,0.8,1.1,0.0
2014,Pomona,19.9,26.0,18.6,7.0,6.3,33.3,18.2,14.4,10.9,11.5,15.7,43.0,62.3,16.3,17.6,24.6,35.7,33.6,31.2,10.2,3.5
2014,Rancho Cordova,11.4,20.3,8.3,0.8,2.4,55.5,9.8,9.3,3.4,2.7,23.0,10.7,0.0,8.1,11.6,21.8,0.0,23.0,14.0,7.5,4.0
2014,Rancho Cucamonga,8.4,13.0,5.4,8.3,5.7,15.8,15.5,3.9,8.2,3.7,12.7,12.3,100.0,8.2,7.1,11.8,20.5,29.9,14.7,2.8,0.4
2014,Redding,7.1,12.2,7.7,2.2,1.8,5.4,11.1,6.7,5.9,3.4,8.2,28.2,0.0,5.5,7.1,16.8,0.0,8.5,12.8,2.2,0.0
2014,Redlands,11.1,18.9,5.8,3.9,4.7,40.1,15.4,4.8,4.9,3.1,9.9,42.0,0.0,5.1,10.0,25.7,36.3,24.4,15.0,4.3,0.0
2014,Redondo Beach,4.0,3.3,1.2,7.1,12.9,31.4,18.0,1.9,0.7,4.7,4.0,0.0,0.0,6.5,2.7,0.0,0.0,27.0,4.3,0.5,0.0
2014,Redwood City,6.3,10.4,3.8,4.2,2.9,37.4,4.5,2.9,1.3,2.2,6.7,24.4,-,4.2,4.9,19.3,0.0,22.5,9.9,3.0,0.0
2014,Rialto,18.2,23.7,13.9,7.0,10.6,27.4,16.4,14.2,11.1,8.3,22.6,27.3,20.6,9.7,22.3,22.2,12.0,45.0,24.7,12.5,0.7
2014,Richmond,13.5,20.1,10.4,6.3,10.0,20.7,16.6,12.8,4.3,6.5,15.5,33.1,15.8,11.1,13.4,20.9,5.5,24.4,23.3,1.2,3.4
2014,Riverside,13.5,19.7,9.6,3.5,7.8,29.7,13.2,8.8,7.8,6.0,15.6,32.7,26.4,7.7,15.7,14.1,27.6,36.9,18.2,7.5,2.9
2014,Roseville,6.5,9.8,4.9,6.1,5.6,20.9,11.1,7.8,2.6,3.0,7.8,19.2,0.0,5.7,6.0,11.8,0.0,16.7,10.5,0.8,6.8
2014,Sacramento,16.4,23.4,11.7,6.0,8.4,37.3,23.3,14.9,3.2,8.1,19.0,30.3,70.9,10.2,18.9,21.0,38.4,35.1,23.3,5.4,4.6
2014,Salinas,16.1,23.3,13.4,3.7,4.8,25.6,21.6,5.4,1.4,3.8,18.4,33.8,63.7,5.2,19.7,22.5,7.2,34.5,30.7,7.5,2.3
2014,San Bernardino,28.6,38.1,23.6,6.2,9.3,41.9,24.0,27.3,8.6,10.1,33.2,40.8,74.7,19.6,28.9,30.5,48.1,53.1,37.7,16.5,9.0
2014,San Buenaventura (Ventura),9.1,14.0,5.1,4.5,7.3,8.8,18.4,7.7,7.3,5.9,11.0,27.4,20.7,8.3,6.9,19.3,0.0,25.5,13.3,0.9,0.0
2014,San Clemente,2.1,3.0,1.3,1.4,1.3,N,N,N,N,N,N,N,N,N,N,N,N,7.1,1.6,1.1,0.0
2014,San Diego,11.2,17.3,7.0,7.9,8.0,35.2,18.3,10.0,3.9,5.3,15.4,26.3,37.3,7.6,12.8,16.9,21.2,32.6,16.6,3.3,1.3
2014,San Francisco,6.5,10.4,4.2,6.9,5.6,15.1,13.8,6.7,2.9,4.1,10.5,8.2,35.9,6.3,6.8,6.7,3.8,18.7,10.9,1.8,1.8
2014,San Jose,6.5,8.5,4.5,6.0,4.9,17.8,8.6,6.2,2.3,4.2,7.5,12.9,18.0,5.9,6.4,8.4,5.6,20.2,11.0,2.6,0.8
2014,San Leandro,7.0,10.2,5.2,7.2,6.8,16.6,7.1,5.6,3.7,3.6,11.0,3.4,0.0,5.2,8.8,7.3,0.0,19.2,9.6,3.9,1.2
2014,San Marcos,13.1,15.5,3.9,5.3,3.8,29.1,20.4,13.6,3.4,10.4,9.7,50.4,0.0,13.0,6.9,31.4,22.4,51.9,7.2,3.9,8.4
2014,San Mateo,4.5,8.2,4.4,3.9,3.6,17.8,13.7,1.0,1.5,1.7,4.7,21.9,100.0,2.4,3.0,23.3,32.8,12.3,6.2,3.0,0.0
2014,San Ramon,2.4,3.2,2.1,1.5,N,0.0,0.0,6.8,1.1,N,N,N,N,1.9,2.7,2.3,0.0,6.6,4.9,0.6,0.0
2014,Santa Ana,20.1,28.0,13.6,5.8,10.4,28.8,17.0,11.4,6.4,7.4,21.4,44.8,33.3,12.7,18.3,29.7,20.8,50.7,32.7,13.1,3.3
2014,Santa Barbara,11.0,17.4,11.3,4.9,5.5,34.9,19.8,3.9,3.1,5.5,12.9,25.0,87.0,6.1,12.4,15.0,54.2,20.2,11.4,8.1,12.0
2014,Santa Clara,3.3,4.7,2.8,3.2,2.6,9.7,11.0,2.7,1.2,2.1,2.8,18.3,75.2,2.5,2.2,11.2,18.0,10.5,2.6,3.0,0.0
2014,Santa Clarita,6.1,8.7,5.1,1.3,1.6,33.5,8.7,3.3,2.2,2.9,6.0,15.1,52.6,4.9,3.7,14.3,14.6,16.0,7.8,3.6,2.9
2014,Santa Maria,19.1,23.6,15.4,4.6,10.9,28.5,15.2,14.6,0.0,10.8,14.5,36.2,71.1,16.3,17.3,20.3,33.1,40.4,31.7,8.8,2.2
2014,Santa Monica,4.3,7.5,2.9,4.7,3.7,32.0,7.5,0.0,1.8,2.1,7.3,10.8,0.0,4.1,2.7,18.1,0.0,12.4,9.3,0.0,0.0
2014,Santa Rosa,8.2,13.1,7.5,1.5,2.5,21.5,7.7,4.3,7.6,3.1,14.0,9.0,33.3,6.6,10.4,7.0,8.3,11.5,14.9,4.0,0.0
2014,Simi Valley,5.8,8.3,5.4,4.7,4.4,26.3,8.2,5.7,0.3,3.3,8.2,7.1,44.8,3.9,6.4,9.3,7.8,10.0,10.6,2.4,4.7
2014,South Gate,20.5,26.6,16.5,9.5,10.1,24.7,22.6,14.1,11.4,10.0,24.8,33.9,0.0,18.9,18.8,28.2,15.4,51.7,31.2,9.8,6.6
2014,South San Francisco,1.8,3.0,0.5,1.4,N,0.0,4.5,3.6,0.0,N,N,N,N,N,N,N,N,14.4,1.5,0.0,0.0
2014,Stockton,23.6,31.4,17.5,4.6,14.5,36.6,22.8,23.1,8.3,10.7,25.1,46.0,59.8,18.9,22.1,31.9,42.4,53.2,30.6,5.8,5.0
2014,Sunnyvale,3.5,4.3,2.1,2.0,6.5,18.9,10.8,4.1,0.9,2.4,4.4,3.8,0.0,1.9,3.9,7.5,0.0,19.9,4.0,0.2,3.5
2014,Temecula,5.1,5.8,3.1,8.9,5.7,15.3,1.9,4.3,5.7,4.2,6.5,3.0,0.0,7.0,3.7,5.1,0.0,18.5,6.0,1.9,0.0
2014,Thousand Oaks,4.6,7.6,3.1,1.4,2.7,17.6,16.7,4.2,1.5,2.5,7.0,5.4,57.4,4.5,4.0,7.1,0.0,14.0,6.9,1.1,0.0
2014,Torrance,3.7,3.8,1.4,4.4,4.2,14.7,5.4,4.7,1.7,3.6,2.7,15.0,-,4.4,2.9,2.1,43.2,11.0,5.6,1.2,0.0
2014,Tracy,8.6,11.4,3.4,5.9,5.3,25.9,11.3,2.8,1.1,2.4,8.5,12.2,48.8,8.9,8.0,6.3,20.6,41.9,13.1,1.2,2.7
2014,Turlock,13.5,19.0,9.8,4.9,9.5,26.5,11.6,14.8,4.9,6.1,16.9,31.3,0.0,9.7,14.3,18.5,20.2,30.1,20.5,5.8,0.0
2014,Tustin,8.0,14.2,5.9,2.9,0.0,15.8,15.8,4.0,3.7,0.4,13.2,26.3,-,5.4,7.7,13.3,54.7,10.7,17.7,2.5,4.5
2014,Union City,8.9,12.1,1.1,5.2,5.0,11.2,17.9,6.6,4.5,5.7,8.1,33.1,0.0,7.5,9.9,5.0,17.0,38.5,14.8,1.5,0.0
2014,Upland,9.0,12.8,5.5,4.3,5.7,21.5,18.4,8.7,1.5,5.6,7.5,27.3,-,6.4,6.2,28.3,0.0,23.0,9.5,4.6,5.2
2014,Vacaville,5.8,8.9,4.9,8.5,6.0,22.4,4.2,5.5,1.2,2.8,5.1,22.9,0.0,3.2,8.1,9.3,0.0,11.5,9.8,2.6,0.0
2014,Vallejo,15.5,25.3,11.0,8.1,11.1,25.1,32.8,12.5,3.3,5.7,22.2,42.5,0.0,11.5,17.7,22.6,10.1,37.9,24.0,2.3,2.2
2014,Victorville,25.8,36.5,18.8,14.1,15.3,59.5,31.2,17.5,5.9,6.7,31.4,47.4,49.6,17.1,30.6,21.8,36.2,54.4,27.3,11.7,5.2
2014,Visalia,14.8,21.5,9.4,5.2,11.9,36.9,12.6,13.8,1.9,6.3,15.3,30.9,53.1,8.7,16.4,21.0,34.7,35.3,18.2,2.4,0.0
2014,Vista,12.3,17.1,5.2,3.0,6.8,14.1,19.8,14.2,2.7,6.0,11.9,31.7,76.4,5.8,14.2,17.9,26.1,41.4,18.4,1.0,1.0
2014,Walnut Creek,5.5,10.7,3.6,1.1,0.0,0.0,10.0,10.4,2.8,2.1,7.0,63.2,-,2.3,6.6,27.9,0.0,8.6,6.4,4.1,0.0
2014,West Covina,8.9,14.5,6.5,6.2,7.6,25.7,7.7,3.7,7.9,3.4,12.5,20.9,20.0,5.6,7.6,10.6,43.0,16.0,11.8,6.3,5.2
2014,Westminster,16.0,23.3,14.5,10.2,10.4,17.6,26.4,12.5,12.3,11.0,21.7,30.5,0.0,13.0,16.9,19.8,26.9,20.9,33.8,7.1,8.2
2014,Whittier,8.3,9.0,4.4,8.6,7.0,21.3,10.3,7.6,1.5,7.6,8.0,12.6,0.0,10.0,8.1,5.2,12.6,27.6,10.2,5.0,1.2
2014,Yorba Linda,2.2,1.6,1.3,3.2,0.6,10.1,0.0,2.7,2.0,2.8,0.0,8.1,-,3.7,1.9,0.0,0.0,10.8,3.8,0.5,0.0
2014,Yuba City,8.6,12.3,6.7,2.2,5.1,17.0,11.3,7.0,2.5,3.7,14.3,7.9,0.0,5.1,8.7,12.4,18.6,16.9,9.9,4.1,13.4
