Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2019,Pomona,11.2,12.6,8.8,7.6,17.9,9.0,8.2,8.0,9.7,8.3,26.2,0.0,14.1,11.3,6.0,13.8,38.3,19.9,3.1,0.5
2019,Rancho Cordova,11.3,16.7,11.8,0.0,27.8,13.3,9.5,6.2,4.0,13.6,26.3,11.0,8.2,10.1,20.9,3.6,9.8,26.0,0.0,0.0
2019,Rancho Cucamonga,6.0,5.3,4.7,4.4,11.4,5.4,8.1,3.4,6.6,4.8,7.2,0.0,10.0,2.8,4.6,0.0,16.7,9.7,2.8,0.8
2019,Redding,7.2,10.1,5.3,0.8,23.1,15.6,5.3,0.7,4.4,8.8,18.0,0.0,8.3,6.5,5.0,0.0,16.4,10.9,0.5,0.0
2019,Redlands,4.2,5.3,3.9,2.9,10.5,7.9,8.3,1.2,3.3,5.6,0.0,-,7.4,2.5,0.0,0.0,8.4,6.4,2.2,0.0
2019,Redondo Beach,N,N,0.0,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,Redwood City,3.3,4.3,1.6,2.1,19.6,3.6,1.6,1.5,2.3,2.7,6.0,73.5,3.5,0.8,12.3,21.4,0.0,6.2,1.6,5.9
2019,Rialto,12.1,17.4,7.0,6.0,20.5,12.3,8.2,1.6,5.1,15.1,23.1,30.8,7.2,15.1,10.0,18.6,44.4,23.0,2.6,0.8
2019,Richmond,9.6,15.5,7.4,4.2,20.9,3.7,9.0,4.9,2.6,12.8,32.1,100.0,4.5,12.4,10.2,22.2,34.0,14.6,3.5,1.1
2019,Riverside,8.2,11.1,5.7,4.4,11.4,13.0,5.6,4.2,4.6,9.9,16.8,7.8,8.4,7.6,10.2,4.3,20.2,16.8,2.8,0.5
2019,Rocklin,3.2,4.4,2.3,4.1,0.0,9.7,2.8,2.5,1.9,3.6,9.0,0.0,2.4,3.6,5.1,0.0,13.2,3.0,1.4,0.0
2019,Roseville,4.0,7.5,2.1,1.8,28.1,4.7,6.0,0.5,1.0,5.3,17.2,-,2.3,5.8,4.8,0.0,18.1,3.4,1.3,0.0
2019,Sacramento,8.4,13.3,6.9,2.9,18.6,14.7,7.9,2.0,3.3,10.5,22.9,23.2,4.1,9.4,17.2,18.6,15.2,13.6,3.1,4.8
2019,Salinas,15.5,22.5,9.8,2.8,24.9,16.8,7.3,1.7,2.3,14.7,38.6,73.9,4.7,19.2,16.2,18.7,59.2,28.9,4.3,0.0
2019,San Bernardino,17.2,25.4,13.6,11.2,25.8,16.0,18.0,3.6,6.7,19.1,38.3,54.5,14.5,18.4,13.2,49.1,45.7,25.7,6.7,0.4
2019,San Buenaventura (Ventura),2.6,4.3,2.5,1.9,5.1,9.6,1.3,0.8,1.6,4.9,0.0,-,1.7,4.3,1.2,0.0,5.1,3.2,2.0,0.0
2019,San Clemente,2.0,1.1,0.0,1.0,N,N,N,N,N,N,N,N,N,N,N,N,16.9,0.0,0.0,0.0
2019,San Diego,6.9,9.1,4.5,6.9,23.8,12.8,6.1,2.3,4.8,7.1,16.2,60.6,6.6,5.8,10.3,15.7,20.3,10.7,2.5,1.3
2019,San Francisco,4.9,7.2,3.2,6.1,12.9,9.3,8.6,1.3,3.5,6.9,10.3,0.0,5.1,4.7,5.5,1.1,14.2,9.7,1.2,0.9
2019,San Jose,3.9,5.2,2.0,3.7,8.3,7.7,4.1,1.8,2.8,4.8,5.7,34.4,4.7,3.0,4.6,7.7,17.6,5.7,1.2,0.7
2019,San Leandro,6.3,11.4,3.0,1.3,7.4,17.3,2.0,5.8,2.0,5.0,52.6,-,3.6,4.6,21.9,0.0,17.4,11.7,3.6,0.0
2019,San Marcos,7.1,10.4,4.3,0.9,25.1,15.9,3.5,2.4,2.7,7.7,25.6,0.0,1.9,10.9,7.9,0.0,17.0,12.8,2.3,0.0
2019,San Mateo,3.1,4.7,1.7,1.8,20.5,2.1,1.1,1.5,N,N,N,N,N,N,N,N,10.9,6.5,0.8,0.0
2019,San Ramon,1.5,1.3,0.3,5.9,0.0,0.0,0.0,1.9,N,N,N,N,4.7,0.0,2.4,0.0,16.1,1.6,0.0,0.0
2019,Santa Ana,10.5,14.9,8.4,4.9,16.2,11.3,5.6,1.9,5.0,11.2,24.2,31.9,10.2,8.3,14.9,9.8,35.7,20.3,6.0,1.6
2019,Santa Barbara,5.8,8.1,5.0,2.2,16.1,4.9,4.3,2.6,3.7,9.1,0.0,-,3.9,9.3,0.0,0.0,13.3,13.7,1.7,0.0
2019,Santa Clara,1.1,2.3,1.2,1.2,0.0,2.1,2.2,0.8,N,N,N,N,N,N,N,N,0.0,3.4,0.0,0.0
2019,Santa Clarita,5.8,9.2,4.0,4.7,7.8,10.8,6.8,2.7,2.3,8.1,13.5,10.7,4.8,6.1,6.9,6.2,14.3,10.2,2.0,1.3
2019,Santa Cruz,5.3,6.9,4.3,0.0,19.6,0.0,6.6,4.5,N,N,N,N,N,N,N,N,15.2,5.3,4.5,0.0
2019,Santa Maria,10.3,14.8,8.4,0.0,16.6,10.9,3.0,1.6,2.4,11.3,21.9,22.4,8.7,10.3,11.2,14.2,25.4,16.0,4.6,1.4
2019,Santa Monica,5.8,4.8,1.9,8.6,5.8,22.5,3.2,3.0,6.3,5.2,0.0,-,8.5,2.0,0.0,0.0,23.9,2.0,2.0,0.0
2019,Santa Rosa,3.1,3.8,2.0,4.7,5.6,5.2,2.3,1.8,2.3,3.2,6.8,0.0,2.9,3.7,1.0,5.7,13.1,4.0,0.9,0.0
2019,Simi Valley,3.3,4.1,2.2,3.2,9.8,6.3,3.6,1.0,2.7,3.5,9.2,0.0,2.1,4.1,4.9,0.0,13.2,4.4,1.4,0.0
2019,South Gate,13.4,24.1,11.5,2.4,16.9,10.7,14.5,0.0,2.4,17.8,47.4,15.6,13.9,12.3,18.5,4.1,26.9,24.5,4.1,0.0
2019,South San Francisco,3.1,7.4,2.5,0.0,8.3,0.0,2.9,2.6,N,N,N,N,2.5,4.6,0.0,0.0,9.5,6.9,1.4,0.0
2019,Stockton,12.4,18.3,9.5,5.8,19.6,13.7,8.4,9.5,4.4,14.6,23.7,41.9,7.9,13.9,16.5,13.7,31.4,18.3,2.0,1.9
2019,Sunnyvale,3.3,3.3,1.4,3.1,2.4,8.9,6.9,2.0,3.2,3.3,3.1,-,3.0,3.7,2.4,0.0,15.4,4.8,0.6,1.9
2019,Temecula,5.1,6.2,3.1,2.6,27.8,17.5,2.1,2.9,3.7,4.3,14.9,0.0,4.5,3.8,10.5,0.0,19.5,9.1,0.9,0.0
2019,Thousand Oaks,2.7,2.7,0.5,4.6,20.0,4.1,1.3,1.5,2.7,1.9,6.8,0.0,3.0,2.5,3.0,0.0,11.9,3.0,0.3,0.0
2019,Torrance,3.6,5.0,2.5,1.7,12.6,4.8,3.5,2.9,2.7,5.8,1.5,-,4.3,2.8,4.7,0.0,11.5,6.5,0.7,0.0
2019,Tracy,6.4,6.1,5.8,0.0,9.1,7.0,7.6,1.3,6.7,3.3,13.3,0.0,7.9,5.3,6.9,0.0,18.3,11.9,2.8,0.0
2019,Tulare,19.3,27.6,15.6,0.0,29.4,26.0,14.7,0.0,1.4,18.1,45.4,4.7,8.3,15.6,42.9,2.5,42.7,24.3,10.0,2.8
2019,Turlock,8.2,11.6,5.0,13.5,15.8,14.0,7.0,2.6,4.3,9.5,19.9,0.0,2.5,13.6,10.6,0.0,23.3,11.0,2.2,0.0
2019,Tustin,8.8,14.5,7.5,5.7,39.4,9.0,8.8,1.1,2.3,13.1,25.4,-,3.7,7.1,23.0,0.0,27.1,14.6,6.8,0.0
2019,Union City,3.0,4.0,0.7,6.2,11.6,6.2,3.0,0.9,2.2,4.5,1.9,0.0,3.8,3.3,0.8,0.0,20.0,2.4,0.0,0.0
2019,Upland,4.8,8.2,2.4,1.2,26.7,6.6,3.7,0.7,2.3,7.7,12.0,0.0,4.0,5.3,6.5,0.0,13.4,9.0,1.7,0.0
2019,Vacaville,3.8,5.8,2.3,4.0,20.7,0.8,4.4,0.4,2.0,6.3,0.0,60.7,2.6,2.2,10.5,60.7,9.9,5.6,0.7,2.7
2019,Vallejo,9.6,15.7,6.1,3.3,14.2,23.8,4.8,1.9,4.4,16.2,13.8,0.0,11.2,10.7,2.2,0.0,32.5,13.8,0.4,0.0
2019,Victorville,15.2,21.7,10.7,9.0,26.7,9.8,15.8,2.8,5.2,12.5,40.4,78.3,8.4,12.0,28.5,16.4,35.2,22.2,2.7,0.0
2019,Visalia,9.6,11.1,6.9,7.0,35.2,5.9,7.8,1.0,7.9,8.7,17.1,74.3,10.9,7.9,9.6,19.5,24.4,16.6,2.2,0.0
2019,Vista,7.9,12.2,3.4,3.3,17.5,4.5,5.5,4.5,3.1,11.4,12.6,41.1,6.0,10.1,9.0,5.1,30.3,17.8,0.3,0.0
2019,Walnut Creek,3.4,5.8,3.0,2.5,0.0,4.9,8.3,1.4,1.8,5.4,9.6,-,5.4,0.0,9.8,0.0,6.9,6.2,0.0,0.0
2019,West Covina,4.1,5.2,1.5,3.9,11.3,4.6,3.2,1.8,3.2,5.2,5.5,0.0,6.2,3.3,4.1,2.6,20.2,5.4,1.4,0.5
2019,Westminster,13.5,21.3,8.6,12.5,20.4,13.0,15.4,5.5,8.0,15.9,34.2,84.6,11.9,14.8,9.8,22.6,26.5,23.3,6.5,1.1
2019,Whittier,4.7,6.1,3.2,7.2,14.0,8.2,0.3,4.5,3.3,6.9,3.8,0.0,6.3,4.1,2.6,9.7,10.7,8.2,1.1,1.5
2019,Yorba Linda,3.5,7.8,2.7,0.0,0.0,9.8,4.8,1.9,N,N,N,N,2.8,4.8,0.0,0.0,9.3,4.8,2.1,1.3
2019,Yuba City,11.3,17.6,6.5,15.7,22.8,19.6,10.0,0.0,5.3,18.6,12.8,-,7.9,17.2,9.0,0.0,41.0,8.4,8.3,0.0
