City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Douglas City,188801.3,196175.2,196844.9,213949.9,231200.8,241795.2,260781.6,286716.0,300351.8,295846.7
Downey,381950.9,361299.4,348759.1,390647.5,434946.2,460652.4,479412.9,522039.0,576480.7,597506.3
Downieville,145947.2,142898.7,141607.7,152434.8,168449.6,180167.2,183668.4,195757.3,217908.7,235786.6
Doyle,77425.5,75464.3,76907.4,75729.9,71546.2,80024.7,92867.0,110501.4,132772.1,138957.7
Duarte,352392.0,328063.3,315163.8,363798.9,413849.7,436405.1,451462.0,485995.8,534258.0,550633.2
Dublin,585684.6,549629.1,534311.4,634260.2,747552.9,828777.3,899540.2,938801.9,1008303.4,984413.7
Dunlap,200116.1,176977.7,165175.6,180121.0,194836.6,221447.7,241007.3,258681.3,269687.5,277223.7
Dunsmuir,105630.5,101034.0,100053.0,110263.2,117827.6,123473.7,131341.4,139115.7,152832.8,173502.0
Durham,307665.7,281199.1,274916.2,300522.0,332945.1,356398.9,384352.7,411238.5,439191.1,490520.7
Dutch Flat,186883.5,149904.0,143192.5,165596.3,188538.4,211523.7,229288.4,252306.4,274256.9,284434.7
Earp,171700.4,151448.8,123730.8,121645.9,133634.3,141997.4,140358.5,152973.3,175107.3,166033.3
East Los Angeles,226769.6,214247.9,209218.3,243571.7,290639.0,319533.7,338453.5,381229.6,439887.6,468923.8
East Palo Alto,291107.8,269367.1,293979.1,394908.2,493778.9,599651.0,722853.9,810762.7,991118.5,993067.9
Eastvale,373672.1,363826.2,356111.3,417832.8,484182.2,502073.3,515342.4,540741.2,590227.4,599277.7
Edwards,52585.4,43244.2,38335.0,44339.4,55230.6,56681.0,52405.7,65219.2,80128.4,94657.7
El Cajon,334617.0,311995.5,311426.6,356823.1,399327.3,427277.6,461535.4,493438.0,520706.3,531501.7
El Centro,131994.9,125269.0,134695.8,148529.1,168207.5,182664.2,198753.7,212295.8,224698.3,241274.6
El Dorado,301705.6,269002.4,252234.9,288790.6,326455.8,354229.3,390335.7,422913.2,453746.2,464523.9
El Dorado Hills,437670.7,417963.2,409205.4,471945.6,521709.7,543206.1,570693.6,599598.1,632391.3,661513.5
El Monte,321057.4,303357.4,289265.5,336136.7,382841.1,402090.9,411833.9,453912.7,512909.8,528168.2
El Segundo,679394.3,648612.9,635954.2,724731.4,790042.8,834028.7,871307.0,962548.7,1128550.3,1169974.8
Elk Grove,231942.8,218129.5,216158.8,272007.9,317502.9,338873.9,366455.4,397682.0,433326.4,443739.2
Elverta,174176.1,156358.2,151132.9,190768.4,231883.0,257210.5,286360.4,320119.6,347693.3,362231.6
Emerald Lake Hills,1171208.7,1110704.2,1146633.3,1360715.5,1576295.7,1789579.5,1946435.2,2021369.7,2224232.5,2195188.1
Emeryville,302749.9,255495.2,240891.5,297056.6,362697.7,416361.2,481954.2,519083.8,561446.0,577114.8
Encinitas,684637.6,646374.6,653111.8,739384.6,834948.6,901727.6,970448.4,1036099.4,1091882.0,1119161.5
Escalon,229309.4,204969.9,202459.4,238554.1,287465.3,316935.2,348001.2,379185.9,409087.9,423382.9
