Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% No own children under 18,% 1-2 own children under 18 ,% 3-4 own children under 18,% 5 or more own children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family,% Owner occupied,% Renter occupied
2015,Rialto ,14.7,21.2,8.4,9.6,20.6,16.5,9.4,8.7,3.6,18.2,28.6,67.3,5.6,21.5,30.2,63.2,11.5,15.5,16.4,14.5,40.4,24.2,6,0.7,4.4,34.4
2015,Richmond ,15,25,10.9,4.9,25.2,19.4,13.7,6.3,4.7,24.3,24.6,100,5.4,29.3,22.6,-,13.3,16.9,15.2,10.1,34.6,25.6,3.8,3.3,2.7,27.6
2015,Riverside ,10.5,17.2,8.5,3.4,24.3,10.1,9.5,2.2,3.4,8.3,36.8,67,4.4,8.2,41.5,70.3,6.1,10.7,13,32.7,24.8,17.9,3.8,1.8,3.7,21.4
2015,Roseville ,6.9,8.8,3.3,9.7,23.2,14.5,6.4,2.2,4.8,9.7,4.6,0,5.2,9.5,5,0,6.6,8,4.2,0,19.8,10.3,0.6,0,2.3,17.4
2015,Sacramento ,16.4,24.5,11,8.5,39.9,20.1,16.6,3.3,7.3,20.5,38.3,34.9,8.3,21,40,30.9,11.2,17.9,25.2,25.5,40,20.2,4.8,6.4,5.3,28.6
2015,Salinas ,18.6,25.6,13.3,6.4,29.6,14.3,14,0,6.7,17.7,40,80.2,6.7,23.5,42.7,65.8,9.2,21.6,21.4,25.6,47.3,28.3,8.8,4.4,4.3,29.3
2015,San Bernardino ,29.6,38,23.5,7.6,44.3,27.9,25.2,9.7,12.3,30.9,50.8,63.8,13.5,34.7,52.1,81.3,21.7,28.5,43.2,25.7,56,40,15.5,4.1,12.3,45.3
2015,San Buenaventura (Ventura) ,5.9,9.3,3.5,5.2,9.6,5.9,9.4,1.5,3.1,9.4,10.3,0,3.2,9.6,10.8,-,5.4,5.8,8.6,0,15.7,11.8,0,0,2.7,10.8
2015,San Clemente ,2,1.4,0.7,3.7,N,N,N,N,N,N,N,N,2.2,2.1,0,-,N,N,N,N,8.8,1,1,0,1.6,3.3
2015,San Diego ,10.5,15.7,7.3,4.8,30.6,17.2,9.2,3.6,5.5,12.1,30,61.7,6.5,11.7,31,75.3,7.8,10,19.3,24.6,27.6,16,3.3,2.7,2.6,19.5
2015,San Francisco ,7.2,9.5,4,5.5,18.9,13.2,8.1,2.5,5.7,8.1,18.8,55.2,6,7.9,24.4,0,8.7,5.5,6.6,5.2,26.3,10.2,2.1,1.7,2.6,11.9
2015,San Jose ,6.4,8.1,4,5,18.7,10.5,4.6,2.4,4.5,6.4,16.5,18.1,4.9,6.2,19.6,21.3,6.4,5.8,9.2,4,22,9.8,2.7,1.4,2.9,11.8
2015,San Leandro ,7.3,10.9,5.7,4.6,13.9,3.7,11.2,1.6,4.2,6.6,29.2,0,3.7,7.8,32.2,-,5.1,4.7,19.2,0,13.4,15.7,2.4,0,4.1,12.4
2015,San Marcos ,9.3,14,9.1,1,28.8,18.8,5.1,2.1,4.3,11.2,20,38.6,4,11.5,23.9,71.8,8.8,7.9,13.7,14.5,12.2,14.4,5.5,4.7,4.1,18.9
2015,San Mateo ,2.9,4.8,2.1,6.6,20,3.2,0,1.1,1.3,5.6,0,0,2.9,3.4,0,0,2.7,3.4,0,12.2,9.5,5,0.5,2.4,2.1,4.2
2015,San Ramon ,3.7,4.6,2.5,2,21.7,39.7,3.2,1.2,1.7,3.3,15.6,-,1.6,3.4,15.6,-,3.5,2.4,9.5,0,22.5,6,0,0,1.1,11
2015,Santa Ana ,18.3,24.5,14.9,12.3,26.9,11.5,10.8,9,8,18.7,34.7,32.1,9.4,19.3,46.4,35.2,13,17,25.8,15.4,40.1,35.1,12.2,2.1,6.4,28.4
2015,Santa Barbara ,7.1,9.7,6.3,4.7,17.1,11.7,8.8,2.6,5.3,6.3,14.4,100,5.1,8.1,10.4,100,5.5,7.9,4.9,100,6.7,15.1,4.1,0,4.3,9.8
2015,Santa Clara ,3.2,3.7,2.5,2.5,9.2,6.8,2.5,2.1,2.8,3.9,2.2,0,3.1,3.5,2.8,0,3.2,3.9,1.5,0,13.2,4.7,1.3,0,1.3,5.2
2015,Santa Clarita ,3.6,5,2.1,3.3,13.5,6.3,2.1,1.7,2.4,4.3,8.4,0,2.4,4.5,8.6,0,2.3,4.4,4.8,2.9,11.3,7,0.8,1.1,2.1,7.5
2015,Santa Maria ,19,24.9,16.5,5.7,22.1,19.6,20.6,1.3,6.5,15.4,39.9,48.3,6.6,16.1,45.8,69.6,13.7,18.6,21.9,26.3,31.9,40,6.5,5.1,4.2,31.3
2015,Santa Monica ,3,3.9,1,0,8.1,0,13,0,N,N,N,N,2.2,4.5,0,-,N,N,N,N,10.6,4.6,0.5,0,0.5,4.9
2015,Santa Rosa ,9.1,16,7.1,4.2,19.2,8.9,11.4,3.2,2.7,13.3,26.4,71.9,2.7,14,27.2,100,8.5,9.1,10.1,18,28.5,15.5,1.8,0,1.3,17.9
2015,Simi Valley ,3.2,4.5,2.1,2.1,11.2,4.7,3.5,1.1,2.2,4.4,3,16,2.5,4.2,2.2,23.9,2.5,4.4,2.1,0,14.4,3.2,2,0,1.4,9.7
2015,South Gate ,14.3,19.1,13.3,7.2,16.3,25.1,6.3,0,7.8,13.5,35.9,38.3,7.8,15.6,43.3,0,11.1,10.8,22.1,19.7,32.2,24.5,3.7,7.7,5,21.3
2015,South San Francisco ,5.1,11,6,0.7,16.6,5.7,0.8,2,N,N,N,N,0.2,6,44.8,0,0.5,6.2,11.4,0,3.4,18.1,0,0,1.1,13.5
