"GEO_ID","NAME","B25014_001E","B25014_001M","B25014_002E","B25014_002M","B25014_003E","B25014_003M","B25014_004E","B25014_004M","B25014_005E","B25014_005M","B25014_006E","B25014_006M","B25014_007E","B25014_007M","B25014_008E","B25014_008M","B25014_009E","B25014_009M","B25014_010E","B25014_010M","B25014_011E","B25014_011M","B25014_012E","B25014_012M","B25014_013E","B25014_013M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Owner occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Owner occupied!!0.50 or less occupants per room","Estimate!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Owner occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Owner occupied!!2.01 or more occupants per room","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Estimate!!Total!!Renter occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Renter occupied!!0.50 or less occupants per room","Estimate!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Renter occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Renter occupied!!2.01 or more occupants per room",
"1600000US0659920","Redding city, California","33646","2397","18396","1924","14140","1691","4180","925","76","120","0","294","0","294","15250","2049","9306","1841","4904","1394","879","574","161","147","0","294",
"1600000US0659962","Redlands city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0660018","Redondo Beach city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0660102","Redwood City city, California","26963","1518","14604","1610","10015","1496","4276","911","256","191","57","98","0","294","12359","1147","5019","1130","4795","1020","1608","661","94","114","843","605",
"1600000US0660466","Rialto city, California","23707","1477","14906","1518","6049","1153","6969","1368","1571","682","317","286","0","294","8801","1452","2993","1070","3932","965","1577","756","172","221","127","152",
"1600000US0660620","Richmond city, California","36033","1842","17530","1734","11738","1684","5125","963","318","347","160","148","189","177","18503","1607","9144","1498","6641","1304","1820","602","741","537","157","175",
"1600000US0662000","Riverside city, California","87752","3694","50025","2848","30842","2540","14907","1719","3268","1019","906","588","102","118","37727","3009","17364","2243","15575","2101","3888","1168","851","421","49","81",
"1600000US0662938","Roseville city, California","44079","1913","29155","2092","22355","2118","6560","1328","186","203","0","294","54","91","14924","1860","8150","1742","5733","1463","673","523","155","247","213","340",
"1600000US0664000","Sacramento city, California","176168","5046","86950","4208","64475","4141","20412","1980","1536","544","418","246","109","129","89218","4095","48739","3516","34061","2818","4573","1315","1408","693","437","381",
"1600000US0664224","Salinas city, California","40933","1550","17741","1851","8837","1332","6937","1198","1480","678","369","309","118","141","23192","2036","7099","1376","10501","1938","3973","945","1458","612","161","155",
"1600000US0665000","San Bernardino city, California","59604","2858","30377","2435","17605","2083","9340","1536","2520","875","846","486","66","110","29227","2299","8396","1787","13153","1790","5561","1325","1309","660","808","491",
