Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2010,Sunnyvale,140549,10850,7.7,7531,5.4,8025,5.7,6999,5,7675,5.5,28161,20,20902,14.9,20127,14.3,8199,5.8,6717,4.8,7185,5.1,5894,4.2,2284,1.6
2010,Temecula,100751,7980,7.9,7865,7.8,9835,9.8,9082,9,7680,7.6,12753,12.7,15616,15.5,15484,15.4,4335,4.3,3385,3.4,3529,3.5,2720,2.7,487,0.5
2010,Thousand Oaks,127041,6542,5.1,9704,7.6,7634,6,12382,9.7,5838,4.6,12225,9.6,17008,13.4,20766,16.3,7580,6,10436,8.2,9162,7.2,5143,4,2621,2.1
2010,Torrance,145618,8044,5.5,8907,6.1,9328,6.4,9846,6.8,8724,6,16763,11.5,21685,14.9,21850,15,9257,6.4,6856,4.7,13465,9.2,7121,4.9,3772,2.6
2010,Tracy,83223,7025,8.4,8032,9.7,6834,8.2,7270,8.7,4921,5.9,10580,12.7,14055,16.9,12420,14.9,3235,3.9,2842,3.4,4058,4.9,1171,1.4,780,0.9
2010,Turlock,68663,4799,7,3822,5.6,3691,5.4,6591,9.6,5604,8.2,11479,16.7,8839,12.9,10030,14.6,3165,4.6,2822,4.1,4211,6.1,2725,4,885,1.3
2010,Tustin,75769,5694,7.5,6582,8.7,6736,8.9,4575,6,5371,7.1,12255,16.2,13296,17.5,8832,11.7,3686,4.9,2514,3.3,4224,5.6,1720,2.3,284,0.4
2010,Union City,69696,5052,7.2,5762,8.3,6168,8.8,3655,5.2,4544,6.5,11079,15.9,9923,14.2,8904,12.8,4251,6.1,3222,4.6,4274,6.1,2302,3.3,560,0.8
2010,Upland,73991,4128,5.6,4207,5.7,6459,8.7,5377,7.3,5039,6.8,9919,13.4,11554,15.6,8499,11.5,4693,6.3,4243,5.7,5513,7.5,3640,4.9,720,1
2010,Vacaville,92623,5546,6,6236,6.7,5241,5.7,6867,7.4,7603,8.2,12740,13.8,15222,16.4,14152,15.3,5345,5.8,4740,5.1,5396,5.8,2873,3.1,662,0.7
2010,Vallejo,116217,8325,7.2,6272,5.4,6540,5.6,7984,6.9,8109,7,16549,14.2,14617,12.6,17221,14.8,7660,6.6,7771,6.7,8469,7.3,5008,4.3,1692,1.5
2010,Victorville,116305,9693,8.3,12256,10.5,11266,9.7,10215,8.8,10075,8.7,16228,14,16357,14.1,13197,11.3,4473,3.8,3718,3.2,5021,4.3,3242,2.8,564,0.5
2010,Visalia,124866,9494,7.6,9491,7.6,9660,7.7,12087,9.7,8512,6.8,18771,15,15095,12.1,15357,12.3,7313,5.9,5378,4.3,6795,5.4,4979,4,1934,1.5
2010,Vista,94170,7206,7.7,7027,7.5,6631,7,5743,6.1,9366,9.9,15156,16.1,11248,11.9,13352,14.2,5484,5.8,4425,4.7,4413,4.7,2388,2.5,1731,1.8
2010,West Covina,106221,8321,7.8,6585,6.2,7530,7.1,8412,7.9,9104,8.6,12644,11.9,15607,14.7,13776,13,5058,4.8,5233,4.9,6716,6.3,4815,4.5,2420,2.3
2010,Westminster,89971,5417,6,5674,6.3,6942,7.7,5576,6.2,6287,7,10655,11.8,11699,13,14032,15.6,5477,6.1,5223,5.8,6571,7.3,5055,5.6,1363,1.5
2010,Whittier,85433,5702,6.7,5247,6.1,5532,6.5,7082,8.3,6074,7.1,13053,15.3,10697,12.5,11967,14,6498,7.6,3722,4.4,4362,5.1,3085,3.6,2412,2.8
