Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2015,San Clemente,1315,2.8,1272,2.7,5260,11.1,10696,22.7,4095,8.7,16572,35.1,8006,17.0
2015,San Diego,62516,6.6,59119,6.2,149407,15.8,191071,20.2,64717,6.8,244058,25.8,175108,18.5
2015,San Francisco,56405,8.2,28375,4.1,87434,12.8,96288,14.1,38150,5.6,227064,33.2,150105,22.0
2015,San Jose,70391,10.1,45510,6.5,121953,17.5,122499,17.6,53037,7.6,167117,24.0,116806,16.8
2015,San Leandro,6085,9.3,5999,9.1,15122,23.0,14063,21.4,4983,7.6,14084,21.5,5298,8.1
2015,San Marcos,5449,9.4,3074,5.3,11719,20.2,14025,24.1,4531,7.8,12291,21.2,7018,12.1
2015,San Mateo,5518,7.4,3415,4.6,9567,12.9,12228,16.5,5267,7.1,22741,30.6,15479,20.9
2015,San Ramon,1311,2.7,605,1.2,4978,10.1,6660,13.5,2911,5.9,20234,40.9,12772,25.8
2015,Santa Ana,59682,29.4,33214,16.4,47818,23.6,29903,14.8,8823,4.4,16173,8.0,7117,3.5
2015,Santa Barbara,5091,8.0,4654,7.3,8293,13.0,11444,17.9,3529,5.5,18599,29.1,12363,19.3
2015,Santa Clara,4053,4.6,3539,4.0,12670,14.3,13587,15.3,5812,6.6,26563,30.0,22428,25.3
2015,Santa Clarita,6706,5.5,6150,5.0,26235,21.5,29753,24.4,12020,9.9,28760,23.6,12280,10.1
2015,Santa Maria,18283,31.1,7023,11.9,10990,18.7,11688,19.9,3574,6.1,5186,8.8,2077,3.5
2015,Santa Monica,1429,2.0,1251,1.7,7842,10.7,11516,15.8,3246,4.4,27878,38.2,19793,27.1
2015,Santa Rosa,8960,7.4,8695,7.1,24597,20.2,32442,26.6,10127,8.3,23746,19.5,13282,10.9
2015,Simi Valley,4652,5.5,3890,4.6,18444,21.7,19017,22.4,8628,10.2,20802,24.5,9502,11.2
2015,South Gate,16306,27.7,10436,17.8,14848,25.3,8160,13.9,3095,5.3,4552,7.7,1396,2.4
2015,South San Francisco,5670,11.9,4865,10.2,10068,21.1,9200,19.3,4334,9.1,10471,22.0,3028,6.4
2015,Stockton,27081,14.4,20824,11.1,47536,25.3,42235,22.4,16960,9.0,22942,12.2,10606,5.6
2015,Sunnyvale,4599,4.2,4357,4.0,12251,11.2,13238,12.1,6630,6.0,32783,29.9,35870,32.7
2015,Temecula,2555,3.6,3821,5.4,16021,22.7,20630,29.3,6490,9.2,11886,16.9,9119,12.9
2015,Thousand Oaks,3465,3.8,2572,2.9,13404,14.9,20087,22.3,6447,7.2,25369,28.2,18773,20.8
2015,Torrance,3026,2.9,2469,2.4,17509,17.0,23310,22.6,8598,8.3,32099,31.1,16139,15.6
2015,Tracy,4246,7.8,4114,7.6,11702,21.6,13482,24.9,5472,10.1,11213,20.7,3958,7.3
2015,Turlock,3200,6.8,4647,9.9,12625,27.0,10683,22.8,3186,6.8,7882,16.8,4599,9.8
2015,Tustin,3239,6.2,3797,7.3,9023,17.3,10301,19.8,4152,8.0,15448,29.7,6066,11.7
2015,Union City,1888,3.5,2093,3.9,14365,26.7,11097,20.7,3646,6.8,12823,23.9,7795,14.5
2015,Upland,2232,4.2,4116,7.7,11213,21.1,14971,28.1,4967,9.3,10292,19.3,5435,10.2
2015,Vacaville,2828,4.4,4065,6.3,17205,26.8,18309,28.5,8625,13.4,9199,14.3,3989,6.2
2015,Vallejo,4790,5.6,6704,7.9,21260,25.0,24106,28.3,7662,9.0,15983,18.8,4692,5.5
2015,Victorville,6141,8.5,9723,13.4,19516,26.9,19530,26.9,5941,8.2,6803,9.4,4927,6.8
2015,Visalia,9007,11.2,7057,8.8,17910,22.2,21982,27.3,7635,9.5,12303,15.3,4618,5.7
2015,Vista,8477,14.2,4496,7.5,14538,24.3,13660,22.8,5056,8.4,8427,14.1,5209,8.7
2015,Walnut Creek,129,0.2,842,1.6,4929,9.5,8240,15.9,3233,6.2,19375,37.3,15157,29.2
2015,West Covina,6137,8.1,5371,7.1,20344,26.7,17464,22.9,6570,8.6,15204,20.0,5057,6.6
2015,Westminster,9320,13.8,5510,8.1,14094,20.8,15522,22.9,6948,10.3,11851,17.5,4446,6.6
2015,Whittier,4883,8.3,4272,7.3,15453,26.3,15059,25.6,5807,9.9,8536,14.5,4826,8.2
