Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2012,Chula Vista,13878,8.9,15296,9.8,32221,20.6,36611,23.4,14562,9.3,29062,18.6,14555,9.3
2012,Citrus Heights,2831,4.8,4796,8.2,15824,27.0,18941,32.3,5191,8.9,8180,14.0,2789,4.8
2012,Clovis,2533,4.4,3393,5.9,12612,21.9,17018,29.5,6546,11.3,10885,18.9,4728,8.2
2012,Compton,11348,21.9,7158,13.8,14756,28.5,11423,22.0,2884,5.6,3255,6.3,1033,2.0
2012,Concord,5182,6.0,5759,6.7,18835,21.9,22421,26.1,7480,8.7,19124,22.2,7170,8.3
2012,Corona,8454,8.9,7352,7.7,22135,23.3,23286,24.5,7816,8.2,17643,18.6,8333,8.8
2012,Costa Mesa,6959,8.9,5424,7.0,13503,17.3,17126,22.0,7678,9.8,19157,24.6,8173,10.5
2012,Daly City,4054,5.5,5983,8.1,15976,21.7,17166,23.4,8251,11.2,18234,24.8,3801,5.2
2012,Davis,1009,2.9,781,2.3,2497,7.3,4305,12.5,1619,4.7,10522,30.6,13645,39.7
2012,Downey,8175,11.2,7577,10.4,17803,24.4,16722,22.9,5602,7.7,12141,16.6,4963,6.8
2012,East Los Angeles,28525,39.5,12117,16.8,15078,20.9,10299,14.3,2841,3.9,2585,3.6,740,1.0
2012,El Cajon,5442,8.6,6354,10.0,19367,30.6,14896,23.6,4433,7.0,9563,15.1,3172,5.0
2012,Elk Grove,4485,4.6,4820,4.9,19108,19.5,27264,27.8,9159,9.3,25185,25.7,8034,8.2
2012,El Monte,16652,22.2,13109,17.4,20898,27.8,11382,15.1,3853,5.1,7711,10.3,1531,2.0
2012,Escondido,13451,14.9,9874,11.0,16512,18.3,19315,21.4,12147,13.5,13015,14.4,5787,6.4
2012,Fairfield,4837,7.1,5540,8.1,15543,22.7,18088,26.4,7146,10.4,12654,18.5,4705,6.9
2012,Florence-Graham,12155,37.7,6753,21.0,7429,23.1,3677,11.4,930,2.9,1066,3.3,206,0.6
2012,Folsom,1055,2.2,1854,3.8,7803,16.0,10193,20.9,5154,10.6,14147,29.1,8450,17.4
2012,Fontana,18248,16.4,13146,11.8,29915,26.9,27789,25.0,6141,5.5,12150,10.9,3875,3.5
2012,Fremont,6991,4.6,6363,4.2,29671,19.6,22016,14.6,11021,7.3,39644,26.2,35461,23.5
2012,Fresno,40521,13.6,34626,11.6,69496,23.3,74402,24.9,21535,7.2,41018,13.7,16734,5.6
2012,Fullerton,5231,5.7,6326,6.9,18818,20.4,19372,21.0,7253,7.9,21690,23.6,13372,14.5
2012,Garden Grove,18403,16.1,10715,9.4,26583,23.3,28876,25.3,8809,7.7,15072,13.2,5672,5.0
2012,Glendale,16853,12.0,7568,5.4,27720,19.8,24842,17.7,11193,8.0,35970,25.7,16070,11.5
2012,Hawthorne,6103,11.8,6267,12.1,12846,24.9,13414,26.0,3688,7.1,7526,14.6,1837,3.6
2012,Hayward,9646,9.8,7710,7.8,24263,24.6,22279,22.6,8399,8.5,19971,20.3,6211,6.3
2012,Hemet,3879,7.7,6761,13.4,16292,32.4,15246,30.3,3269,6.5,3357,6.7,1536,3.1
2012,Hesperia,4851,8.5,8009,14.1,17670,31.1,14770,26.0,5818,10.2,3824,6.7,1907,3.4
2012,Huntington Beach,4632,3.4,5984,4.4,22776,16.7,36193,26.5,11913,8.7,36304,26.5,18981,13.9
2012,Indio,8395,17.1,5850,11.9,11330,23.1,14052,28.7,2552,5.2,4423,9.0,2409,4.9
2012,Inglewood,11839,16.7,7534,10.6,15274,21.5,17686,24.9,5763,8.1,7860,11.1,4969,7.0
2012,Irvine,1511,1.0,2953,2.0,9901,6.7,22707,15.3,11462,7.7,56760,38.3,42800,28.9
2012,Jurupa Valley,10285,17.4,9443,16.0,16128,27.4,15246,25.9,2209,3.7,3609,6.1,2025,3.4
2012,Lake Forest,2394,4.5,1204,2.3,9462,17.9,11283,21.4,5159,9.8,16340,31.0,6931,13.1
